chrom,start,end,disruption
chr1,217930416,217964277,-2.7169005149663072
chr1,227940197,227955887,-3.748355008017986
chr1,144224381,144264151,-3.4580968312907743
chr1,113139512,113187278,-3.5361503563947996
chr1,166194876,166267528,-2.5117375396648605
chr1,39534060,39621071,-1.4614576948662539
chr1,113463768,113549276,-1.7893582410783222
chr1,242986460,243007227,-3.0741945804853374
chr1,59306060,59313087,-5.960070493775553
chr1,162483790,162549394,-1.561443832842503
chr1,4326181,4344725,-4.459781081988895
chr1,121687357,121771971,-3.7854744464628993
chr1,174407697,174423624,-3.3658001197414635
chr1,237454579,237459253,-4.911466183386613
chr1,133808011,133904515,-5.362278189121646
chr1,119677308,119739408,-3.249059943805579
chr1,17097048,17147288,-1.6939512715016325
chr1,242702967,242739726,-3.4659451816821316
chr1,138071937,138158206,-4.975854758462762
chr1,237497409,237576583,-2.527964075383363
chr1,124760479,124810416,-1.7921207273786433
chr1,13827123,13870911,-2.8253423616590827
chr1,13691019,13701311,-4.349883847119237
chr1,87468719,87503129,-4.417208185657863
chr1,111493355,111590112,-2.0845149202902973
chr1,197851527,197911279,-2.987440510073686
chr1,740473,758406,-3.3083632931511966
chr1,50276941,50374409,-1.1112139108771324
chr1,236052645,236123678,-1.720212630119041
chr1,191291930,191344909,-5.478189454460596
chr1,87355714,87394158,-5.138438302147933
chr1,148963889,149055833,-2.3452018406041257
chr1,110564434,110626175,-2.169381480921304
chr1,9853978,9884508,-2.1565687628775723
chr1,120142409,120235019,-1.8867357583977176
chr1,136817658,136884862,-4.793072607261919
chr1,203721580,203722973,-4.689280283302257
chr1,236028908,236110756,-1.5854327037778775
chr1,146727672,146809631,-1.948265497331946
chr1,204730672,204817749,-2.092263424102608
chr1,2070871,2098915,-2.60379561328398
chr1,23091191,23160622,-2.1681933042511106
chr1,112849250,112864124,-3.5785144726701583
chr1,82444970,82483482,-5.0361652288896614
chr1,109130581,109158977,-2.4783073576258126
chr1,180387758,180395398,-4.0558401424066375
chr1,27514098,27609465,-2.2900171001897975
chr1,194512458,194519053,-6.462240364028488
chr1,178982048,179028459,-2.1066484328100716
chr1,200749662,200814377,-2.207326193784721
chr1,230241270,230337352,-1.5968065237869422
chr1,144825231,144827734,-5.143790197820231
chr1,114608283,114629502,-3.8032142400972466
chr1,86067920,86139603,-2.5466309291833293
chr1,82068312,82124500,-5.710361673013141
chr1,113643564,113685573,-2.7356570327694576
chr1,142806214,142905735,-2.931753556353804
chr1,231234066,231248447,-4.040450740653558
chr1,133814660,133838354,-5.090740109485516
chr1,94876584,94890796,-3.6680655190181453
chr1,124767604,124824641,-2.6123557790406307
chr1,150758916,150777068,-3.279422903922737
chr1,47815078,47840561,-3.7862914923914945
chr1,3043656,3092413,-2.3457796170545366
chr1,173237580,173272968,-2.8327416049577527
chr1,191980954,192040136,-2.405774705610714
chr1,148725651,148739341,-3.1731711782059167
chr1,152245631,152286448,-2.1545743814595633
chr1,11282543,11349562,-1.7452900841670158
chr1,61936440,61936937,-5.044710651793956
chr1,149907687,149972161,-2.2438685313172386
chr1,184763139,184824723,-1.9443588962215292
chr1,106462368,106470146,-6.436050916777255
chr1,222072316,222107743,-2.339910167519006
chr1,133347915,133400879,-5.331156860415756
chr1,19872739,19956761,-1.3530241814033297
chr1,132460338,132521026,-5.4380160379496445
chr1,199488370,199532360,-3.8007661153298296
chr1,89883025,89890247,-3.9005588957703914
chr1,227448086,227505955,-2.614335014324451
chr1,185071345,185075354,-5.826086092583095
chr1,74096785,74146601,-4.257836942569415
chr1,78184452,78221054,-3.7468867442860017
chr1,104576897,104595958,-4.8673074606757085
chr1,165043638,165102593,-2.3385114133621796
chr1,142986199,143075708,-2.149182989896341
chr1,113426955,113445297,-4.105347038601169
chr1,246404469,246413890,-3.840274165725985
chr1,60730741,60766748,-3.43508921445826
chr1,71207784,71234664,-6.013144398264136
chr1,56891417,56938404,-4.2290820497466015
chr1,22582523,22595299,-3.66447286017135
chr1,193718243,193730724,-6.4822360807568264
chr1,5755328,5781682,-2.9947099107702475
chr1,67923261,67976854,-1.7368950130976262
chr1,53841413,53909728,-2.493326827372758
chr1,48792123,48874920,-4.792214928539049
chr1,175522250,175600129,-3.2285682557897357
chr1,53435121,53487646,-1.9268147318480537
chr1,42714065,42781925,-1.7088298775025625
chr1,136480195,136524371,-4.780376315896105
chr1,108328382,108363288,-4.368451478058481
chr1,188603063,188659599,-5.411462023375368
chr1,130014012,130048643,-5.37653551848236
chr1,40429567,40450933,-3.524549103775029
chr1,85607667,85687686,-3.1742192751031846
chr1,63546585,63630873,-3.25865450298456
chr1,217854406,217855261,-4.798198990174803
chr1,49228500,49257728,-5.757841962202273
chr1,108792504,108830939,-2.9844951251956497
chr1,150957153,150962258,-4.441250131947837
chr1,230715609,230724279,-4.9784242130402445
chr1,68779960,68803546,-6.0459683420165975
chr1,159363349,159424541,-2.806006211516171
chr1,123624965,123718260,-1.631175246159004
chr1,46932094,47019436,-1.538424112579211
chr1,86357738,86430950,-1.7528573467354025
chr1,153491533,153494190,-4.086458564444582
chr1,145101213,145112803,-3.820893088917032
chr1,197690049,197741564,-2.437254255983376
chr1,201554295,201584719,-2.0257040149384986
chr1,34276286,34371844,-3.1481767480167293
chr1,102106610,102161259,-4.015555082217516
chr1,123535891,123633965,-2.073572475921295
chr1,68343880,68383631,-4.891470131244697
chr1,196142872,196201516,-2.167532421148478
chr1,107738032,107742206,-4.196407370072863
chr1,133206916,133261923,-4.951011707644121
chr1,245328618,245422851,-2.9272460710010764
chr1,238740658,238780056,-4.160794252873704
chr1,118082369,118106173,-5.254428246933692
chr1,177876817,177900005,-3.267108738536519
