,chrom_x,start_x,loc,merge_id,chrom_y,start_y,stop,mean_disruption,spearman,pearson,name,class,family,del_size,id,i,mse,hamming,end,start,chrom,ctcf_count
703,chr10,100092147,chr10_100092147_SVA_F.npy,chr10100092147,chr10,100092147,100093575,0.0113937952120135,0.9838839913755728,0.9826042398040395,SVA_F,Retroposon,SVA,1428.0,chr10_100092147_SVA_F,241349,-2.913785758546974,9,100093575,100092147,chr10,0
4720,chr10,102057518,chr10_102057518_LTR13.npy,chr10102057518,chr10,102057518,102058483,0.0161790725028316,0.9813047371565332,0.9826227425053508,LTR13,LTR,ERVK,965.0,chr10_102057518_LTR13,130986,-1.5024056209084011,9,102058483,102057518,chr10,0
2246,chr10,102178569,chr10_102178569_Tigger4b.npy,chr10102178569,chr10,102178569,102178752,0.0160783769284383,0.974845475478376,0.978221335456852,Tigger4b,DNA,TcMar-Tigger,183.0,chr10_102178569_Tigger4b,129566,-2.6753371669256727,7,102178752,102178569,chr10,0
6090,chr10,102300976,chr10_102300976_SVA_C.npy,chr10102300976,chr10,102300976,102302286,0.0077226244575253,0.9876455865392476,0.9893553232989452,SVA_C,Retroposon,SVA,1310.0,chr10_102300976_SVA_C,212099,-2.317018126259464,8,102302286,102300976,chr10,0
4044,chr10,102823940,chr10_102823940_MER63B.npy,chr10102823940,chr10,102823940,102824398,0.0084461035302693,0.9829899910377958,0.9815968196888024,MER63B,DNA,hAT-Blackjack,458.0,chr10_102823940_MER63B,64868,-2.6839980931667924,8,102824398,102823940,chr10,0
1772,chr10,103918660,chr10_103918660_MamRep4096.npy,chr10103918660,chr10,103918660,103918780,0.0201325104423873,0.919236269717862,0.9377105953442718,MamRep4096,DNA,hAT-Tip100,120.0,chr10_103918660_MamRep4096,204093,-3.342054784077859,9,103918780,103918660,chr10,0
5782,chr10,104012109,chr10_104012109_Charlie18a.npy,chr10104012109,chr10,104012109,104012422,0.0290640678532765,0.915854000318854,0.9301637286227232,Charlie18a,DNA,hAT-Charlie,313.0,chr10_104012109_Charlie18a,161932,-2.016740244695832,8,104012422,104012109,chr10,0
3653,chr10,106570151,chr10_106570151_Tigger9b.npy,chr10106570151,chr10,106570151,106570766,0.0143078778373536,0.9415275269269092,0.9493707748827356,Tigger9b,DNA,TcMar-Tigger,615.0,chr10_106570151_Tigger9b,117180,-3.9426922354541967,7,106570766,106570151,chr10,0
5530,chr10,110012453,chr10_110012453_MER135.npy,chr10110012453,chr10,110012453,110012588,0.0101742370279575,0.9869100764036964,0.9880603622025566,MER135,DNA,DNA,135.0,chr10_110012453_MER135,1303,-4.076582519706567,6,110012588,110012453,chr10,0
5750,chr10,110267108,chr10_110267108_X7A_LINE.npy,chr10110267108,chr10,110267108,110267371,0.0166520529457907,0.979739295116442,0.9778106690999406,X7A_LINE,LINE,CR1,263.0,chr10_110267108_X7A_LINE,138902,-4.591030678848465,7,110267371,110267108,chr10,0
6114,chr10,11068408,chr10_11068408_Looper.npy,chr1011068408,chr10,11068408,11068561,0.0101897848334212,0.9024048673485532,0.8936821099318033,Looper,DNA,PiggyBac,153.0,chr10_11068408_Looper,229274,-4.939707254862809,9,11068561,11068408,chr10,1
1589,chr10,112034782,chr10_112034782_MER106A.npy,chr10112034782,chr10,112034782,112034893,0.020790495272514,0.9704635777444216,0.955575001959597,MER106A,DNA,hAT-Charlie,111.0,chr10_112034782_MER106A,125543,-4.616495892328833,6,112034893,112034782,chr10,0
3515,chr10,114819234,chr10_114819234_MamTip2.npy,chr10114819234,chr10,114819234,114819441,0.0144465357622023,0.9774147447757658,0.9817629524285536,MamTip2,DNA,hAT-Tip100,207.0,chr10_114819234_MamTip2,22779,-4.84904173482989,8,114819441,114819234,chr10,0
2423,chr10,11494431,chr10_11494431_LTR13.npy,chr1011494431,chr10,11494431,11495432,0.0161585034808267,0.954113872659026,0.9498013508408326,LTR13,LTR,ERVK,1001.0,chr10_11494431_LTR13,166451,-0.0429470202318502,11,11495432,11494431,chr10,0
4543,chr10,115304383,chr10_115304383_LTR9B.npy,chr10115304383,chr10,115304383,115305018,0.0433156289749655,0.8409767917346053,0.8944017621635002,LTR9B,LTR,ERV1,635.0,chr10_115304383_LTR9B,70737,-4.017503924941035,9,115305018,115304383,chr10,0
1516,chr10,115506864,chr10_115506864_MER4A1.npy,chr10115506864,chr10,115506864,115507335,0.0299771930814658,0.8210768000042106,0.8282120022654966,MER4A1,LTR,ERV1,471.0,chr10_115506864_MER4A1,238587,-5.288886213576438,8,115507335,115506864,chr10,0
2116,chr10,115551912,chr10_115551912_MER44A.npy,chr10115551912,chr10,115551912,115552137,0.0240644725641198,0.8173522060413471,0.8175486382444352,MER44A,DNA,TcMar-Tigger,225.0,chr10_115551912_MER44A,143226,-4.1731595511013975,7,115552137,115551912,chr10,0
3729,chr10,116150527,chr10_116150527_MER75.npy,chr10116150527,chr10,116150527,116151032,0.0077314677791288,0.9858488345860696,0.987554864847926,MER75,DNA,PiggyBac,505.0,chr10_116150527_MER75,112903,-5.033594691236435,8,116151032,116150527,chr10,0
4274,chr10,116780596,chr10_116780596_Charlie4a.npy,chr10116780596,chr10,116780596,116780975,0.0178532743327261,0.9571789890011796,0.9693138368201856,Charlie4a,DNA,hAT-Charlie,379.0,chr10_116780596_Charlie4a,243590,-2.9200999860755688,8,116780975,116780596,chr10,0
2691,chr10,116822438,chr10_116822438_CR1-16_AMi.npy,chr10116822438,chr10,116822438,116822555,0.0113489476283655,0.9756690580615416,0.9810191889832988,CR1-16_AMi,LINE,CR1,117.0,chr10_116822438_CR1-16_AMi,213674,-4.818034592197681,6,116822555,116822438,chr10,1
5939,chr10,11792640,chr10_11792640_LTR13.npy,chr1011792640,chr10,11792640,11793647,0.0155249844235335,0.9609238591173558,0.9635381742750656,LTR13,LTR,ERVK,1007.0,chr10_11792640_LTR13,168453,-0.2914819506731859,11,11793647,11792640,chr10,0
1101,chr10,118510962,chr10_118510962_Tigger2a.npy,chr10118510962,chr10,118510962,118511417,0.0155156130554907,0.9323225150939358,0.92999339441,Tigger2a,DNA,TcMar-Tigger,455.0,chr10_118510962_Tigger2a,249101,-4.510238554865969,8,118511417,118510962,chr10,0
3096,chr10,11883708,chr10_11883708_MER63C.npy,chr1011883708,chr10,11883708,11884426,0.0154407650492552,0.9720483031205036,0.9723141757198224,MER63C,DNA,hAT-Blackjack,718.0,chr10_11883708_MER63C,113472,-2.693042763417901,8,11884426,11883708,chr10,0
2811,chr10,119007713,chr10_119007713_AluYk2.npy,chr10119007713,chr10,119007713,119008008,0.0443597652415536,0.9179814405265334,0.908492872835404,AluYk2,SINE,Alu,295.0,chr10_119007713_AluYk2,60798,-4.934883345313421,8,119008008,119007713,chr10,0
5132,chr10,119212856,chr10_119212856_7SLRNA.npy,chr10119212856,chr10,119212856,119213163,0.0074158468326994,,,7SLRNA,srpRNA,srpRNA,307.0,chr10_119212856_7SLRNA,265376,-5.273446576679288,9,119213163,119212856,chr10,0
2983,chr10,119260409,chr10_119260409_SVA_D.npy,chr10119260409,chr10,119260409,119261944,0.007964642668125,,,SVA_D,Retroposon,SVA,1535.0,chr10_119260409_SVA_D,467039,-2.3878803885025213,9,119261944,119260409,chr10,0
115,chr10,119558939,chr10_119558939_SVA_C.npy,chr10119558939,chr10,119558939,119560494,0.0107214239787427,0.983635242897644,0.9826619263060749,SVA_C,Retroposon,SVA,1555.0,chr10_119558939_SVA_C,68234,-2.581697220922798,8,119560494,119558939,chr10,0
6208,chr10,119688428,chr10_119688428_MER20.npy,chr10119688428,chr10,119688428,119688631,0.0225025631433557,0.9446649550124692,0.9432889415229868,MER20,DNA,hAT-Charlie,203.0,chr10_119688428_MER20,3726,-4.684908372041752,11,119688631,119688428,chr10,0
